QuestionID,QuestionText,A,B,C,D,CorrectAnswer,Explanation,Domain/Topic
47,"Which AWS service should you use to provision, manage, and deploy SSL/TLS certificates for use with AWS services (such as Elastic Load Balancers or CloudFront)?","AWS Certificate Manager (ACM)","AWS Key Management Service (KMS)","Amazon GuardDuty","AWS Secrets Manager","AWS Certificate Manager (ACM)","AWS Certificate Manager (ACM) is used to provision, manage, and deploy SSL/TLS certificates on AWS resources. It can provide public certificates (for example, for your website's domain) that you can attach to load balancers, CloudFront distributions, API Gateway, etc., and it handles renewal of certificates. KMS is for encryption keys, GuardDuty is threat detection, and Secrets Manager is for storing secrets like passwords, none of which issue SSL/TLS certificates.","Security and Compliance"
48,"A financial company requires exclusive control over encryption keys using FIPS 140-2 Level 3 validated hardware. Which AWS service should they use?",AWS CloudHSM,"AWS Key Management Service (KMS) with AWS managed keys",AWS Secrets Manager,AWS Encryption SDK,AWS CloudHSM,"AWS CloudHSM provides dedicated Hardware Security Module (HSM) appliances within the AWS Cloud, allowing customers full control over their encryption keys. It supports FIPS 140-2 Level 3 compliance and the keys never leave the HSM. This is ideal for organizations with stringent regulatory requirements for key management. AWS KMS (with AWS managed keys) is a multitenant managed service; while secure and easier to use, AWS has access to the hardware. Secrets Manager is for storing secrets (not specifically providing FIPS Level 3 hardware for keys), and the AWS Encryption SDK is a client library for encryption/decryption, not a service.","Security and Compliance"
49,"Which of the following correctly distinguishes an Amazon VPC Security Group from a Network ACL (Access Control List)?","A Security Group acts at the instance level and is stateful, whereas a Network ACL acts at the subnet level and is stateless","A Security Group is applied at the subnet level and is stateless, while a Network ACL is applied at the instance level and is stateful","Security Groups support allow and deny rules, while Network ACLs support only allow rules","Network ACLs remember previous decisions for traffic (stateful), whereas Security Groups do not (stateless)","A Security Group acts at the instance level and is stateful, whereas a Network ACL acts at the subnet level and is stateless","In Amazon VPC, Security Groups function at the instance (or ENI) level and are stateful firewalls. 'Stateful' means if you allow inbound traffic on a port, the response outbound traffic is automatically allowed, and vice versa. Network ACLs operate at the subnet level and are stateless. They evaluate traffic ingress or egress for the subnet based on rules and do not automatically allow return traffic; you must set rules for both inbound and outbound. Additionally, Security Groups by default allow all outbound and you only create allow rules (no explicit deny in Security Groups, anything not allowed is denied). Network ACLs support both allow and deny rules.","Security and Compliance"
50,"What is multi-factor authentication (MFA) in the context of AWS account security?","An additional layer of security where users must provide a one-time code (from a device or app) along with their password to log in","A service that automatically rotates user passwords on a scheduled basis","The ability to use multiple AWS accounts with one set of credentials","Granting multiple users access to the AWS Management Console simultaneously","An additional layer of security where users must provide a one-time code (from a device or app) along with their password to log in","Multi-factor authentication (MFA) adds an extra layer of protection to your AWS account by requiring a second form of authentication in addition to the password. This second factor is typically something like a time-based one-time password (TOTP) provided by an MFA device or authenticator app. Even if a user's password is compromised, an attacker cannot log in without also having access to the MFA code. MFA doesn't rotate passwords or let one credential access multiple accounts (that's more like cross-account roles or federation), it's purely about adding a second authentication factor for security.","Security and Compliance"
51,What is Amazon EC2 used for?,"Running virtual servers in the AWS Cloud","Storing objects like files and images at scale","Distributing content to users globally with low latency","Managing user access to AWS resources","Running virtual servers in the AWS Cloud","Amazon EC2 (Elastic Compute Cloud) provides resizable compute capacity in the cloud, essentially allowing you to launch virtual servers on AWS. You can choose the operating system, instance type, and other configurations and run applications on these virtual machines. It is one of the fundamental AWS services for compute. Other options listed refer to different services: object storage is Amazon S3, content distribution is Amazon CloudFront, and managing user access is IAM.","Cloud Technology and Services"
52,Which AWS service lets you run code without provisioning or managing servers?,AWS Lambda,Amazon EC2,Amazon EMR,AWS Outposts,AWS Lambda,"AWS Lambda is a serverless compute service that allows you to run your code without provisioning or managing any servers. You simply upload your code (or write it in the console), set the event trigger, and Lambda executes the code only when needed and scales automatically. You pay only for the compute time you consume. In contrast, Amazon EC2 requires you to manage the server environment, Amazon EMR is for big data processing, and AWS Outposts is about running AWS services on-premises.","Cloud Technology and Services"
53,"Which AWS service offers a fully managed Kubernetes environment for running containerized applications?",Amazon EKS (Elastic Kubernetes Service),Amazon S3,AWS Elastic Beanstalk,Amazon EC2 Auto Scaling,Amazon EKS (Elastic Kubernetes Service),"Amazon Elastic Kubernetes Service (EKS) is AWS's managed service for running Kubernetes on the AWS cloud. It handles the control plane management (like provisioning Kubernetes masters, etc.) so you can focus on deploying and managing containerized applications. EKS allows you to use Kubernetes without needing to maintain your own Kubernetes control plane. S3 is storage, Elastic Beanstalk is a PaaS for applications (which can also run Docker but not specifically Kubernetes), and EC2 Auto Scaling is for scaling EC2 instances.","Cloud Technology and Services"
54,"Which AWS service allows you to run containers without having to manage the underlying EC2 servers?",AWS Fargate,Amazon EC2,Amazon Lightsail,AWS OpsWorks,AWS Fargate,"AWS Fargate is a serverless compute engine for containers. It works with Amazon ECS (and Amazon EKS) to run containers without requiring you to provision or manage the compute instances. You just define your container specs and Fargate handles launching and scaling the containers as needed. This removes the need to manage EC2 instances for container workloads. Amazon Lightsail is a simplified service for virtual private servers, EC2 requires managing instances, and OpsWorks is for configuration management (using Chef/Puppet).","Cloud Technology and Services"
55,"Which AWS service automatically distributes incoming application traffic across multiple targets, such as EC2 instances?",Amazon Elastic Load Balancing (ELB),Amazon Route 53,AWS Auto Scaling,AWS CloudFormation,Amazon Elastic Load Balancing (ELB),"Amazon Elastic Load Balancing (ELB) is a service that automatically distributes incoming traffic across multiple targets (such as EC2 instances, containers, or IP addresses) in one or more Availability Zones. It helps achieve fault tolerance and improves availability by ensuring that if one instance is busy or down, traffic is sent to others that are healthy. Route 53 is DNS (it can do some routing but at the DNS level), Auto Scaling changes the number of instances based on load (complementary to ELB), and CloudFormation is for infrastructure as code.","Cloud Technology and Services"
56,What is the purpose of Amazon EC2 Auto Scaling?,"Automatically adjust the number of EC2 instances in response to changing demand","Improve performance of individual EC2 instances by increasing their CPU speed","Distribute traffic across multiple AWS Regions","Migrate databases to AWS with minimal downtime","Automatically adjust the number of EC2 instances in response to changing demand","Amazon EC2 Auto Scaling helps maintain application availability by automatically adding or removing EC2 instances according to conditions you define. For example, you can set policies to launch new instances when CPU utilization is high or terminate instances when demand drops. This ensures you have the right capacity to handle the load and can save costs by not running unneeded instances. It does not change the hardware specs of instances (only quantity), nor does it distribute traffic (that's load balancer) or migrate databases (that's AWS DMS).","Cloud Technology and Services"
57,"Which AWS service is a scalable object storage used for storing and retrieving any amount of data from anywhere?",Amazon S3,Amazon EBS,Amazon EFS,Amazon RDS,Amazon S3,"Amazon S3 (Simple Storage Service) is an object storage service that offers industry-leading scalability, data availability, security, and performance. It can store and retrieve any amount of data, at any time, from anywhere on the web. Typical use cases include backup and restore, archival, content storage and distribution, data lakes, etc. EBS is block storage for EC2, EFS is a file storage service for use with EC2, and RDS is a relational database service.","Cloud Technology and Services"
58,"Which storage service provides block-level storage volumes for use with Amazon EC2 instances?",Amazon EBS (Elastic Block Store),Amazon S3,Amazon EFS,AWS Snowball,Amazon EBS (Elastic Block Store),"Amazon EBS provides persistent block storage volumes for use with EC2 instances. Each EBS volume is automatically replicated within its Availability Zone to protect from component failure, offering high availability and durability. It is like a virtual hard drive that you can attach to an EC2 instance for data that requires frequent updates. S3 is object storage (not block), EFS is a network file system, and Snowball is a physical device for data transfer.","Cloud Technology and Services"
59,"Which AWS storage service provides a scalable, fully managed elastic file system that can be mounted concurrently by multiple EC2 instances?",Amazon EFS (Elastic File System),Amazon S3,Amazon EBS,AWS Backup,Amazon EFS (Elastic File System),"Amazon EFS is a fully managed file storage service that can be used with AWS Cloud services and on-premises resources. It provides a file system interface and file system semantics, allowing concurrent access from multiple EC2 instances (even across Availability Zones). It's scalable (grows and shrinks automatically as you add or remove files) and is ideal for use cases where a shared file system is needed. S3 is object storage, EBS is block storage attached to one instance at a time, and AWS Backup is a centralized backup service.","Cloud Technology and Services"
60,"Which storage option is most appropriate for long-term data archival, where data is infrequently accessed and can tolerate retrieval delays?",Amazon S3 Glacier storage class,Amazon EFS Standard storage class,Amazon RDS Magnetic storage,Amazon DynamoDB Cold storage mode,Amazon S3 Glacier storage class,"Amazon S3 Glacier is an Amazon S3 storage class (and also the name of a service) designed for long-term archival of data that is infrequently accessed and for which retrieval times of minutes or hours are acceptable. It offers very low-cost storage for archives, backups, and other cold data. EFS doesn't have a 'standard' vs 'archival' mode (it has Standard and Infrequent Access tiers, but it's still not for true offline archive), RDS magnetic storage is not about archival, and DynamoDB doesn't have a 'cold storage mode.'","Cloud Technology and Services"
61,"Which AWS service provides managed relational database engines (such as MySQL, PostgreSQL, Oracle, or SQL Server)?",Amazon RDS (Relational Database Service),Amazon DynamoDB,Amazon Redshift,AWS Glue,Amazon RDS (Relational Database Service),"Amazon Relational Database Service (RDS) is a managed service that makes it easy to set up, operate, and scale relational databases in AWS. It supports several familiar database engines, including Amazon Aurora, PostgreSQL, MySQL, MariaDB, Oracle Database, and SQL Server. AWS handles routine tasks like hardware provisioning, database setup, patching, and backups. DynamoDB is a NoSQL database, Redshift is a data warehousing solution, and AWS Glue is an ETL (extract, transform, load) service.","Cloud Technology and Services"
62,"Which AWS database service is a fully managed NoSQL database that provides single-digit millisecond performance at any scale?",Amazon DynamoDB,Amazon Aurora,Amazon Redshift,Amazon S3,Amazon DynamoDB,"Amazon DynamoDB is a key-value and document database (NoSQL) that delivers single-digit millisecond performance at any scale. It's a fully managed, serverless database that scales automatically and backs up your data for you. It's great for applications that need consistent, low-latency responses at scale, such as gaming, IoT, or real-time analytics. Aurora is a relational database (MySQL/PostgreSQL-compatible), Redshift is a data warehouse, and S3 is object storage.","Cloud Technology and Services"
63,"Which AWS service is a petabyte-scale data warehouse solution used for big data analytics?",Amazon Redshift,Amazon ElastiCache,Amazon RDS MySQL,AWS Data Pipeline,Amazon Redshift,"Amazon Redshift is a fast, fully managed data warehousing service that makes it simple and cost-effective to analyze large volumes of data using standard SQL and existing Business Intelligence tools. Redshift is designed for analytic workloads, capable of scaling to petabytes of data. ElastiCache is for in-memory caching, RDS MySQL is a transactional database, and AWS Data Pipeline is for data movement/processing, so they are not meant for data warehousing/analytics at large scale like Redshift is.","Cloud Technology and Services"
64,"Which service helps migrate databases to AWS easily and securely, for example moving an on-premises database into Amazon RDS with minimal downtime?",AWS Database Migration Service (DMS),AWS DataSync,AWS Transfer Family,Amazon QuickSight,AWS Database Migration Service (DMS),"AWS Database Migration Service (DMS) is designed to migrate databases to AWS with minimal downtime. It supports homogeneous migrations (e.g., Oracle to Oracle) as well as heterogeneous migrations (e.g., Oracle to Aurora PostgreSQL). DMS keeps the source and target in sync during the migration, allowing the source database to remain operational. AWS DataSync is for data transfer (files) to AWS storage, AWS Transfer Family is for SFTP/FTP transfers, and Amazon QuickSight is a visualization service.","Cloud Technology and Services"
65,"What is Amazon VPC (Virtual Private Cloud) primarily used for?","Launching AWS resources in a logically isolated network that you define","Delivering content to users around the world with low latency","Managing user identities and permissions within AWS accounts","Running code without provisioning servers","Launching AWS resources in a logically isolated network that you define","Amazon VPC (Virtual Private Cloud) allows you to create a logically isolated section of the AWS Cloud where you can launch AWS resources in a virtual network that you define. You have control over your virtual networking environment, including selection of IP address ranges, subnets, route tables, and network gateways. This means you can have a private, secure environment for your resources, similar to having your own data center network in the cloud. Content delivery with low latency refers to CloudFront, managing identities is IAM, and running code without servers is Lambda.","Cloud Technology and Services"
66,"Which AWS service is a scalable Domain Name System (DNS) web service that can route users to infrastructure endpoints?",Amazon Route 53,AWS CloudTrail,Amazon VPC,AWS X-Ray,Amazon Route 53,"Amazon Route 53 is AWS's highly available and scalable Domain Name System (DNS) service. It is used to route end users to Internet applications by translating human-readable domain names (like www.example.com) into IP addresses. Route 53 also offers advanced routing policies and health checks, and it can be used to route traffic globally based on latency, geolocation, etc., or manage DNS failover. CloudTrail is for logging, VPC is networking, and X-Ray is for tracing application requests.","Cloud Technology and Services"
67,"What is the primary purpose of Amazon CloudFront?","To deliver content (such as web files and videos) to users with low latency via a global network of edge locations","To run containerized applications at scale","To monitor application performance metrics","To connect on-premises networks to the AWS cloud","To deliver content (such as web files and videos) to users with low latency via a global network of edge locations","Amazon CloudFront is a content delivery network (CDN) that caches and serves web content (like HTML, CSS, images, videos, or API responses) from edge locations around the world. This helps ensure that end users get content from a server that is geographically close to them, thereby reducing latency and improving download speeds. CloudFront integrates with services like S3, EC2, or even non-AWS origin servers. It is not for running containers (that's ECS/EKS), not primarily for monitoring (that's CloudWatch), and not specifically for network connectivity (that's VPN/Direct Connect).","Cloud Technology and Services"
68,"Which AWS service provides a dedicated network connection from your on-premises data center to AWS, offering more consistent network performance than the public internet?",AWS Direct Connect,AWS VPN (Virtual Private Network),Amazon CloudFront,AWS Global Accelerator,AWS Direct Connect,"AWS Direct Connect allows you to establish a dedicated, private network connection between your on-premises network and AWS. This can provide higher bandwidth and more stable, lower-latency connectivity compared to typical internet-based connections. It is often used in hybrid cloud setups to create a consistent network experience. AWS VPN is an encrypted connection over the internet (not dedicated hardware), CloudFront is for content delivery, and Global Accelerator optimizes routing over the AWS global network for internet traffic, but Direct Connect is a private link.","Cloud Technology and Services"
69,"Which AWS service is a fully managed message queuing service that enables decoupling of application components?",Amazon SQS (Simple Queue Service),Amazon SNS (Simple Notification Service),AWS Step Functions,Amazon MQ,Amazon SQS (Simple Queue Service),"Amazon SQS is a fully managed message queuing service that enables you to decouple and scale microservices, distributed systems, and serverless applications. With SQS, one part of an application can send messages into a queue, and another part can retrieve and process those messages asynchronously. This way, if the processing part is slow or down, messages accumulate in the queue rather than being lost, and the producer isn't affected. SNS is a pub/sub notification service, Step Functions is for orchestrating workflows, and Amazon MQ is a managed message broker for those who want to run traditional message brokers in AWS.","Cloud Technology and Services"
70,"Which AWS service enables a pub/sub messaging model, allowing you to send notifications to multiple subscribers at once?",Amazon SNS (Simple Notification Service),Amazon SQS,Amazon EventBridge,AWS Chatbot,Amazon SNS (Simple Notification Service),"Amazon SNS is a fully managed pub/sub messaging service that allows messages to be published to a topic and then immediately delivered to all subscribers to that topic. Subscribers can be various endpoints: email, SMS, HTTP endpoints, AWS Lambda functions, SQS queues, etc. This makes it easy to fan-out messages to multiple recipients or decouple parts of a system via notifications. SQS is a queue (point-to-point, not fan-out by itself), EventBridge is an event bus for routing events (somewhat similar to advanced SNS capabilities), and AWS Chatbot integrates with SNS to send alerts to chat channels.","Cloud Technology and Services"
71,"Which service provides a serverless event bus that can be used to route events between AWS services or from SaaS applications to AWS, enabling event-driven architectures?",Amazon EventBridge,Amazon SNS,AWS Step Functions,Amazon MQ,Amazon EventBridge,"Amazon EventBridge is a serverless event bus service that makes it easier to build event-driven applications at scale using events generated from your applications, integrated Software-as-a-Service (SaaS) applications, and AWS services. EventBridge can route events to targets like Lambda, SQS, SNS, etc., based on rules that you define (for example, trigger a Lambda when a specific event pattern from an AWS service occurs). It builds upon and extends the older CloudWatch Events. SNS is simpler pub/sub, Step Functions is for workflows, and Amazon MQ is a managed message broker.","Cloud Technology and Services"
72,"Which AWS service is used to monitor AWS resources and applications, collecting metrics and logs, and can send alerts when thresholds are exceeded?",Amazon CloudWatch,AWS CloudTrail,AWS Config,AWS Cloud9,Amazon CloudWatch,"Amazon CloudWatch is the main monitoring service for AWS. It collects metrics from various AWS services (like CPU utilization of EC2 instances, latency of ELBs, etc.) and also allows you to collect and track custom metrics. It includes CloudWatch Alarms, which can trigger notifications or actions when metrics cross certain thresholds (for example, an alarm can trigger an auto scaling action or send an SNS notification if CPU is too high). CloudWatch Logs is a component for aggregating and storing logs from your applications or AWS services. CloudTrail is for auditing API calls, AWS Config tracks resource configs, and Cloud9 is an IDE service.","Cloud Technology and Services"
73,"Which AWS service provides a fully managed platform for developers and data scientists to build, train, and deploy machine learning models at scale?",Amazon SageMaker,Amazon Lex,AWS DeepLens,Amazon EMR,Amazon SageMaker,"Amazon SageMaker is a fully managed machine learning service that covers the entire ML workflow, including building (with hosted Jupyter notebooks for data exploration and preprocessing), training (with one-click distributed training and hyperparameter tuning), and deploying ML models (with auto-scaling hosted endpoints). It simplifies the process of developing ML models at scale. Amazon Lex is a service for building conversational chatbots (speech recognition and language understanding), AWS DeepLens is a physical device for learning ML (especially computer vision), and Amazon EMR is for big data processing with Hadoop/Spark etc.","Cloud Technology and Services"
74,"Which AWS service allows you to run AWS infrastructure and services in your own data center or on-premises facility for a consistent hybrid experience?",AWS Outposts,AWS Snowball Edge,Amazon EC2,AWS Local Zones,AWS Outposts,"AWS Outposts is a fully managed service that extends AWS infrastructure, services, APIs, and tools to customer on-premises data centers or co-location spaces. In essence, AWS delivers and installs an Outposts rack (with AWS hardware) in your facility, and you can use it to run AWS services (like EC2, EBS, RDS, etc.) locally while still being managed from the AWS console and with full integration. This provides a truly consistent hybrid cloud experience. Snowball Edge is more for portable computing and storage for temporary or edge use cases, not continuous hybrid cloud. Local Zones are AWS infrastructure in metro areas for low-latency, but Outposts is the specific service for on-premises AWS.","Cloud Technology and Services"
75,"Besides using the AWS Management Console, how else can you programmatically interact with and manage AWS services?","By using the AWS Command Line Interface (CLI) or AWS SDKs","By directly connecting to AWS servers via SSH for all services","By physically visiting AWS data centers to manage resources","AWS services cannot be accessed outside the AWS Console","By using the AWS Command Line Interface (CLI) or AWS SDKs","AWS provides multiple ways to interact with its services. In addition to the web-based Management Console, you can use the AWS Command Line Interface (CLI) to issue commands to AWS services from your terminal or scripts. There are also AWS Software Development Kits (SDKs) available for various programming languages (Python, Java, .NET, JavaScript, etc.), which allow you to programmatically call AWS services from your applications. These methods enable automation and integration of AWS operations into your workflows. You do not (and cannot) manage AWS resources by logging into AWS's own servers via SSH or by being on-site at data centers.","Cloud Technology and Services"
76,"A startup needs to launch a few servers for an unpredictable workload with no long-term commitment. Which EC2 pricing model is most appropriate?",On-Demand Instances,Reserved Instances,Spot Instances,Dedicated Hosts,On-Demand Instances,"On-Demand Instances are ideal for situations where you have unpredictable workloads or short-term requirements and do not want any long-term commitment. They allow you to pay for compute capacity by the hour or second (depending on instance type) with no upfront cost. This gives the most flexibility, albeit at a higher per-hour cost than some other options. Reserved Instances require a 1- or 3-year commitment for lower rates (good for steady predictable workloads), Spot Instances are for interruptible workloads and can be shut down if capacity is needed elsewhere, and Dedicated Hosts provide dedicated physical servers for compliance or licensing needs.","Billing, Pricing, and Support"
77,"A company knows it will need a certain number of EC2 instances running 24/7 for the next year. What pricing model can they use to get a lower hourly rate in exchange for a commitment?","Purchase Reserved Instances for 1 or 3 years","Use On-Demand Instances and request a volume discount","Use Spot Instances for 100% of the workload","Use Dedicated Hosts for those instances","Purchase Reserved Instances for 1 or 3 years","Reserved Instances allow you to commit to a certain instance use (instance type and region) for a 1-year or 3-year term, in exchange for a significantly discounted hourly rate (up to 75% off compared to On-Demand). This is ideal for known steady-state usage. They can be purchased as All Upfront, Partial Upfront, or No Upfront, with varying discount levels. On-Demand doesn't give a commitment discount (volume discounts apply to some services, but not the same as RI discounts), Spot is not suitable for guaranteed 24/7 needed capacity since they can be interrupted, and Dedicated Hosts are for dedicated hardware rather than cost savings.","Billing, Pricing, and Support"
78,"Which EC2 pricing option offers the deepest discounts (often up to 90%) but may have instances terminated if AWS needs the capacity back?",Spot Instances,On-Demand Instances,Dedicated Instances,Reserved Instances,Spot Instances,"Spot Instances allow you to bid on unused EC2 capacity. They offer very steep discounts (up to 90% off On-Demand prices) because AWS can reclaim the instances with a 2-minute warning if they need the capacity for other customers (i.e., if the market price exceeds your bid or the Spot capacity is reduced). Spot Instances are ideal for fault-tolerant, flexible workloads such as batch processing, big data jobs, or workloads that can be checkpointed and resumed. They are not suitable for critical workloads that must run continuously without interruption. On-Demand has no interruption but higher cost, Reserved gives discount for commitment, Dedicated ensures isolation but not cost savings.","Billing, Pricing, and Support"
79,"Which pricing model allows you to reduce costs by committing to a consistent amount of compute usage (measured in $/hour) for a 1- or 3-year term, regardless of instance family or region?",AWS Savings Plans,Reserved Instances,On-Demand Capacity Reservations,Spot Blocks,AWS Savings Plans,"AWS Savings Plans offer a flexible pricing model that provides lower rates on EC2, Fargate, and Lambda usage in exchange for a commitment to a consistent amount of compute usage (e.g., $10/hour) for a 1- or 3-year term. Unlike Reserved Instances, Savings Plans automatically apply to any compute usage that fits the plan (e.g., across instance families or Regions, depending on the type of plan), which provides flexibility. There are Compute Savings Plans (broadly applicable) and EC2 Instance Savings Plans (more similar to RIs in scope). On-Demand Capacity Reservations and Spot Blocks are different features not focused on cost reduction like Savings Plans.","Billing, Pricing, and Support"
80,"A company has a software license that is tied to physical hardware (e.g., per-socket licensing) and compliance requirements forbidding multi-tenant hardware. Which EC2 hosting option should they choose?",EC2 Dedicated Hosts,EC2 Spot Instances,"EC2 On-Demand Instances on shared hardware","EC2 Reserved Instances on shared hardware",EC2 Dedicated Hosts,"EC2 Dedicated Hosts provide a physical server fully dedicated to your use. You have control over which instances are placed on that server, allowing you to use your own software licenses that may be tied to physical metrics (like per-core or per-socket licensing). Dedicated Hosts also meet compliance requirements that require isolation from other customers at the hardware level. Dedicated Instances (not listed) also run on single-tenant hardware but you don't control placement or get visibility into the hardware like with Dedicated Hosts. On-Demand or Reserved on shared hardware would not meet those requirements, and Spot is unrelated to licensing needs.","Billing, Pricing, and Support"
81,"Which AWS Support plan includes a Technical Account Manager (TAM), support concierge, and 15-minute response time for critical (Severity 1) issues?",Enterprise Support,Business Support,Developer Support,Basic Support,Enterprise Support,"The Enterprise Support plan is the highest tier of AWS Support. It includes all features of lower plans and additional benefits such as a Technical Account Manager (TAM) who provides proactive guidance, a Support Concierge for billing and account assistance, and the fastest response times (15 minutes for critical issues). It is geared towards large or mission-critical use cases where dedicated support and guidance are needed. Business Support (the next tier down) has 24x7 access to engineers and 1-hour response for urgent issues but no TAM. Developer Support is more limited (mainly email support during business hours), and Basic has no technical support cases.","Billing, Pricing, and Support"
82,"A company running production workloads on AWS needs 24x7 technical support via phone and chat with 1-hour response times for urgent issues, but they do not need a Technical Account Manager. Which support plan is most appropriate?",Business Support,Enterprise Support,Developer Support,Basic Support,Business Support,"The Business Support plan is designed for production workloads. It provides 24x7 access to Cloud Support Engineers via phone, chat, and email. Response times under Business Support are up to 1 hour for urgent high-severity issues. It includes support for third-party software and full access to the AWS Trusted Advisor checks. It does not include a Technical Account Manager—that is only in Enterprise Support. Developer Support is limited to business hours email support for lower-severity issues, and Basic has no technical case support.","Billing, Pricing, and Support"
83,"What is one benefit of using AWS Organizations for a company with multiple AWS accounts?","Consolidated billing that combines usage across accounts onto a single bill, often benefiting from volume pricing discounts","Elimination of all AWS charges for child accounts","Automatic merging of all accounts into one large account","Physical isolation of each account's resources in separate AWS data centers","Consolidated billing that combines usage across accounts onto a single bill, often benefiting from volume pricing discounts","AWS Organizations allows you to manage and govern multiple AWS accounts centrally. One key benefit is consolidated billing: you get a single bill for all accounts in the organization, and usage from all accounts can be aggregated to potentially qualify for volume pricing discounts (for services where pricing decreases with higher usage). Organizations also let you apply Service Control Policies (SCPs) to impose guardrails and centrally manage account configurations. It doesn't merge accounts or isolate them in separate data centers (accounts are logically separate but can still share regions/infrastructure). And charges still apply to each account's usage—Organizations doesn't eliminate costs, it just centralizes and possibly reduces them via aggregated usage.","Billing, Pricing, and Support"
84,"Which AWS service lets you set custom spending thresholds and will alert you (via email or SNS) when your actual or forecasted costs exceed those thresholds?",AWS Budgets,AWS Cost Explorer,AWS Trusted Advisor,Amazon CloudWatch,AWS Budgets,"AWS Budgets allows you to set custom cost (or usage) budgets and receive alerts when your actual or forecasted spending exceeds (or is forecasted to exceed) the budgeted amount. For example, you could set a monthly budget of $500 and have AWS Budgets email you if your month-to-date spend surpasses 80% of that or is forecasted to exceed $500 by month's end. This helps you keep track of costs proactively. Cost Explorer is used for analyzing spend but doesn't send alerts, Trusted Advisor gives recommendations (including cost optimizations), and CloudWatch monitors performance metrics (though it could be used in custom ways to track billing metrics too, but AWS Budgets is purpose-built for cost alerts).","Billing, Pricing, and Support"
85,"Which tool is used to visualize and analyze AWS costs and usage over time, for example to see monthly spend by service?",AWS Cost Explorer,AWS Budgets,AWS Pricing Calculator,AWS Cost and Usage Report,AWS Cost Explorer,"AWS Cost Explorer is a user-friendly interface that lets you explore your historical AWS spending and usage. You can create reports and graphs to break down costs by service, account, region, tag, and other dimensions over custom time frames. It also provides forecasts based on historical trends. It's useful for identifying cost drivers and usage patterns. AWS Budgets is for setting alerts, the Pricing Calculator is for estimating costs beforehand, and the Cost and Usage Report is a detailed data export (not a visualization tool).","Billing, Pricing, and Support"
86,"Which AWS tool should you use to estimate the monthly cost of a proposed architecture by configuring the services you plan to use?",AWS Pricing Calculator,AWS Cost Explorer,AWS Budgets,AWS TCO Calculator,AWS Pricing Calculator,"The AWS Pricing Calculator allows you to model and estimate the costs of AWS architectures prior to actually using them. You can input the details of the services you plan to use (like instance types, quantities, usage hours, storage amounts, etc.), and it provides an estimate of monthly (or yearly) costs. This is useful for planning and comparing costs for different solutions. Cost Explorer and Budgets are for analyzing/monitoring costs after or during usage. The TCO (Total Cost of Ownership) Calculator (older tool) was used to compare on-premises vs AWS cost, but it’s largely supplanted by other tools and the Migration Evaluator service.","Billing, Pricing, and Support"
87,"What is the AWS Free Tier?","A program that offers new AWS customers free usage of certain services (up to specified limits) for the first 12 months, plus some services that are always free","A special support plan that provides AWS services at no cost for a trial period","A pricing model for EC2 instances that costs nothing unless you exceed a usage limit","The AWS billing mechanism for internal AWS testing (not available to customers)","A program that offers new AWS customers free usage of certain services (up to specified limits) for the first 12 months, plus some services that are always free","The AWS Free Tier is designed to enable new customers to try out AWS services without incurring costs. It has three types of offers: 1) a 12-month Free Tier for new accounts (e.g., 750 hours of a t2.micro EC2 instance per month for one year, certain amount of S3 storage, etc.), 2) an Always Free tier (certain free usage caps that don't expire, like 1 million Lambda invocations per month, 1 GB of DynamoDB storage, etc.), and 3) short-term trials for some services. It's not a support plan; it's a billing offer. After the limits or time period, normal charges apply.","Billing, Pricing, and Support"
88,"What is the AWS Marketplace?","An online catalog where customers can find, purchase, and immediately start using software and services from third-party vendors that run on AWS","The section of the AWS Management Console where you manage billing and cost management","A partner program for AWS consulting firms","A service that automates provisioning of AWS resources for e-commerce applications","An online catalog where customers can find, purchase, and immediately start using software and services from third-party vendors that run on AWS","The AWS Marketplace is an online store that lists software solutions from independent software vendors that run on AWS. Customers can use AWS Marketplace to find ready-to-use software (like AMIs, SaaS, or data products) and deploy them on AWS with a few clicks. The billing for these products is integrated into the AWS bill. Essentially, it simplifies finding and using third-party solutions (like security, databases, web applications, etc.) on AWS. It is not the billing dashboard itself (that's the Billing Console), not the partner network (that's APN), and not specific to provisioning resources for e-commerce (though you could find e-commerce solutions on the Marketplace).","Billing, Pricing, and Support"
89,"How can a company track AWS costs for different projects or departments using the same AWS account?","By using cost allocation tags to label resources and then analyzing costs by tag","By running each project in a separate AWS Region","By using only the AWS Free Tier for all projects","By purchasing all resources through the AWS Marketplace","By using cost allocation tags to label resources and then analyzing costs by tag","AWS allows you to assign metadata tags (key-value pairs) to most resources. By tagging resources with identifiers for projects, departments, environments, etc., you can use AWS Cost Explorer and Cost Allocation Reports to break down and allocate costs according to those tags. For example, tag resources with 'Project: Alpha' vs 'Project: Beta' and then see the cost for each project. It's a powerful way to attribute spending. Using separate regions or marketplace doesn't inherently separate costs by project - tagging is the recommended approach. Separate accounts could also be used, but within one account, tags are the way.","Billing, Pricing, and Support"
